user_id,name,start_date,floor,team,specialty,previous_lunches
1,Lincoln Kruiboesch,06/18/2012,2,Communications,,"12,7,31"
2,Sherill Assaf,09/10/2011,3,Product Manager,,"1,9,28"
3,Don Greep,03/23/2013,1,Customer Service,,"6,3,25"
4,Andera Levenson,10/12/2011,3,Operations,,"1,10,31"
5,Fred Pickrell,07/21/2012,3,Customer Service,,"12,1,31"
6,Felipe Graen,08/28/2009,3,Executive,,"0,5,13,24"
7,Scott Swearengen,03/03/2011,2,Engineering,,"3,4,31"
8,Ivory Sheward,08/17/2010,3,Outreach,Backend,"11,4,30"
9,Mauricio Javis,08/25/2009,1,Customer Service,,"12,11,29"
10,Maria Givhan,09/18/2011,3,Outreach,Backend,"11,9,22"
11,Rolande Russer,10/22/2011,4,Communications,,"15,1,28"
12,Cornelius Samrov,09/05/2011,2,Product Manager,Backend,"12,4,19"
13,Domitila Keliipaakaua,05/31/2012,4,Operations,,"14,15,32"
14,Keneth Fliger,08/21/2010,2,Communications,,"11,2,29"
15,Mickie Robyn,12/02/2009,1,Outreach,,"3,10,30"
16,Margeret Sofer,06/27/2011,1,Engineering,Mobile,"16,8,30"
17,Lashandra Kallevig,06/04/2013,1,Design,Human Resources,"9,10,22"
18,Sherron Nealley,01/12/2012,2,Outreach,Legal,"3,5,25"
19,DeAndra Szpak,12/04/2010,1,Outreach,,"15,2,26"
20,Ethan Kuzara,01/14/2012,2,Product Manager,,"15,2,22"
21,Damion Gibala,02/16/2013,2,Engineering,,"2,13,18"
22,Parker Derwin,01/22/2013,2,Design,,"5,8,19"
23,Roscoe Pyeatt,08/22/2010,3,,Human Resources,"6,1,23"
24,Mara Maria,09/25/2009,4,Operations,,"6,14,17"
25,Ines Jubilee,03/30/2010,3,Outreach,Mobile,"5,14,31"
26,Leandro Mittlestadt,07/21/2011,3,Communications,,"6,13,19"
27,Letty Swarner,04/22/2010,2,Outreach,Frontend,"14,15,25"
28,Nakita Allbritten,01/03/2012,4,Communications,,"14,2,17"
29,Eggimann Tarone,02/18/2013,3,Design,,"14,10,29"
30,Stepanie Palevic,06/15/2011,4,Customer Service,,"15,7,20"
31,Ramiro Buckmeon,09/24/2011,1,Executive,,"0,6,4,19"
32,Valrie Kleftogiannis,09/07/2012,1,Product Manager,,"1,16,23"
33,Tenisha Sandate,12/12/2011,4,Communications,,"15,1,30"
34,Dian Cham,05/15/2012,2,Engineering,,"7,9,23"
35,Carolina Credo,06/06/2010,2,Communications,,"12,1,21"
36,Colin Rigoni,11/18/2013,4,Outreach,,"12,6,17"
37,Lorrine Langanke,10/10/2013,1,Outreach,,"6,8,28"
38,Suzi Savannah,12/10/2012,1,Design,,"9,14,24"
39,Michaela Barella,09/19/2010,1,Communications,,"4,9,21"
40,Yuriko Rodefer,10/10/2009,1,Design,Finance,"4,13,27"
41,Jerald Wolanin,06/06/2013,1,Engineering,Data,"8,15,17"
42,Idella Siem,02/10/2011,2,Product Manager,,"9,14,29"
43,Edra Weisiger,05/02/2010,2,Design,,"6,13,25"
44,Collen Molton,12/17/2013,2,Executive,,"0,10,1,26"
45,Orlando Horgan,01/01/2012,1,Communications,Mobile,"10,12,27"
46,Scot Collons,10/22/2013,3,Design,,"13,1,27"
47,Deshawn Meinhardt,06/18/2011,3,Operations,,"14,13,32"
48,Brittani Baccus,12/16/2013,3,Product Manager,,"6,11,21"
49,Jerrie Covarrubias,10/14/2013,2,Customer Service,,"11,13,26"
50,Ina Larde,12/04/2009,2,Product Manager,,"7,8,26"
51,Loyd Donofrio,09/01/2013,1,Outreach,Backend,"14,6,20"
52,Jani McGlothian,08/20/2013,3,Communications,,"4,1,18"
53,Samuel Janis,05/02/2010,1,Customer Service,Human Resources,"5,14,29"
54,Susan Young,10/08/2013,3,Customer Service,,"1,14,22"
55,Jennifer Baker,04/17/2010,3,Operations,,"4,14,21"
56,William Wood,05/19/2010,3,Operations,Mobile,"4,8,18"
57,Elizabeth Diaz,12/22/2009,1,Communications,,"1,12,24"
58,Helen Ward,06/08/2011,1,Executive,,"0,11,9,32"
59,Campbell Russell,11/25/2010,2,Outreach,,"1,5,27"
60,David Graham,12/03/2013,4,Product Manager,Backend,"3,6,23"
61,Ruth Bryant,07/26/2013,3,Product Manager,,"6,3,28"
62,Patricia Thompson,12/09/2009,1,Customer Service,,"5,14,32"
63,Patricia Ford,09/07/2012,1,Operations,Legal,"2,5,24"
64,Tony Reuteler,04/29/2013,2,Design,,"12,5,20"
65,Michaele Zahm,06/02/2012,2,Outreach,Legal,"9,8,19"
66,Florencio Montogomery,07/29/2010,2,Product Manager,,"11,14,18"
67,Terese Delung,08/21/2013,1,Design,Mobile,"3,1,20"
